"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"17.10.2019","55,41","55,48","55,66","55,40","22,08K","-0,31%"
"16.10.2019","55,58","55,70","55,78","55,50","13,36K","-0,38%"
"15.10.2019","55,79","55,59","55,88","55,40","58,19K","0,90%"
"14.10.2019","55,29","55,38","55,38","55,00","29,79K","-0,56%"
"11.10.2019","55,60","54,90","55,60","54,90","19,01K","1,50%"
"10.10.2019","54,78","54,39","54,85","54,19","26,31K","0,61%"
"09.10.2019","54,45","54,15","54,57","54,15","47,76K","0,31%"
"08.10.2019","54,28","54,99","54,99","54,26","23,27K","-1,36%"
"07.10.2019","55,03","54,75","55,03","54,67","113,57K","0,57%"
"04.10.2019","54,72","54,26","54,72","54,14","18,23K","1,37%"
"02.10.2019","53,98","55,20","55,20","53,98","34,32K","-2,70%"
"01.10.2019","55,48","56,28","56,28","55,42","95,71K","-0,82%"
"30.09.2019","55,94","55,68","55,97","55,64","45,74K","0,16%"
"27.09.2019","55,85","55,97","56,05","55,68","8,73K","0,23%"
"26.09.2019","55,72","55,68","56,02","55,68","20,88K","0,27%"
"25.09.2019","55,57","55,42","55,60","55,10","16,43K","-0,22%"
"24.09.2019","55,69","55,95","56,04","55,69","16,05K","-0,09%"
"23.09.2019","55,74","55,86","55,91","55,62","30,97K","-0,50%"
"20.09.2019","56,02","55,82","56,08","55,69","39,73K","0,13%"
"19.09.2019","55,95","55,49","55,95","55,49","8,92K","0,87%"
"18.09.2019","55,47","55,53","55,69","55,47","14,52K","-0,16%"
"17.09.2019","55,56","55,68","55,73","55,47","22,89K","-0,36%"